1 166.667 0 84.5 0 0.169 0 0.0661667 0 0 0 0 0 0 0 0.0661667 0 
2 166.667 0 93.5 0 0.187 0 0.0706667 0 0 0 0 0 0 0 0.0706667 0 
3 166.667 0 102 0 0.204 0 0.0751667 0 0 0 0 0 0 0 0.0751667 0 
4 166.667 0 108.5 0 0.217 0 0.0776667 0 0 0 0 0 0 0 0.0776667 0 
5 166.667 0 117.5 0 0.235 0 0.0831667 0 0 0 0 0 0 0 0.0831667 0 
0 166.667 0 73 0 0.146 0 0.0605 0 0 0 0 0 0 0 0.0605 0 
1 166.667 0 80.8333 0 0.161667 0 0.066 0 0 0 0 0 0 0 0.066 0 
2 166.667 0 89 0 0.178 0 0 0 0.0706667 0 0 0 0 0 0 0 
3 166.667 0 98.1667 0 0.196333 0 0.0763333 0 0 0 0 0 0 0 0.0763333 0 
4 166.667 0 105.667 0 0.211333 0 0.0795 0 0 0 0 0 0 0 0.0795 0 
5 166.667 0 113 0 0.226 0 0.0833333 0 0 0 0 0 0 0 0.0833333 0 
0 166.667 0 71.6667 0 0.143333 0 0.0591667 0 0 0 0 0 0 0 0.0591667 0 
1 166.667 0 80.8333 0 0.161667 0 0.0648333 0 0 0 0 0 0 0 0.0648333 0 
2 166.667 0 88 0 0.176 0 0.071 0 0 0 0 0 0 0 0.071 0 
3 166.667 0 96.5 0 0.193 0 0.0751667 0 0 0 0 0 0 0 0.0751667 0 
4 166.667 0 105.333 0 0.210667 0 0.0801667 0 0 0 0 0 0 0 0.0801667 0 
5 166.667 0 110.5 0 0.221 0 0.0828333 0 0 0 0 0 0 0 0.0828333 0 
0 166.667 0 81.6667 0 0.163333 0 0 0 0.000166667 0 0 0 0.0671667 0 0.0173333 0 
1 166.667 0 94.8333 0 0.189667 0 0 0 0.000666667 0 0 0 0.0743333 0 0.0233333 0 
2 166.667 0 100.5 0 0.201 0 0 0 0.000166667 0 0 0 0.0771667 0 0.0236667 0 
3 166.667 0 108.167 0 0.216333 0 0.000166667 0 0.000833333 0 0 0 0.0806667 0 0.0195 0 
4 166.667 0 114.667 0 0.229333 0 0 0 0.000666667 0 0 0 0.0846667 0 0.023 0 
5 166.667 0 122.5 0 0.245 0 0 0 0.000333333 0 0 0 0.0885 0 0.0235 0 
